캐릭터명,레벨,발탄,비아키스,쿠크세이튼,아브렐슈드,일리아칸,오레하,아르고스,카양겔,timestamp
김서풍,1560.00,하드/가능,하드/가능,노말/가능,하드16/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,하드2/가능,2022-09-14 22:11:26
냉동랜스,1477.50,하드/가능,하드/가능,노말/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,골드보상X/가능,노말/가능,2022-09-14 22:11:31
Obtusis,1565.83,하드/가능,하드/가능,노말/가능,하드16/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,하드2/가능,2022-09-14 22:11:37
리퍼님파티신청하지마세요,1560.00,하드/가능,하드/가능,노말/가능,하드16/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,하드2/가능,2022-09-14 22:11:42
선우서풍,1501.67,하드/가능,하드/가능,노말/가능,노말14/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,노말/가능,2022-09-14 22:11:46
남궁서풍,1467.50,하드/가능,하드/가능,리허설/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,3페이즈/가능,레벨제한/입장불가,2022-09-14 22:11:50
서문서풍,1467.50,하드/가능,하드/가능,리허설/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,3페이즈/가능,레벨제한/입장불가,2022-09-14 22:11:55
최왕하,1524.17,하드/가능,하드/가능,노말/가능,노말16/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,하드1/가능,2022-09-14 22:12:03
최왕후,1522.50,하드/가능,하드/가능,노말/가능,노말16/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,하드1/가능,2022-09-14 22:12:06
최왕서,1460.00,하드/가능,하드/가능,리허설/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,3페이즈/가능,레벨제한/입장불가,2022-09-14 22:12:10
최왕령,1508.33,하드/가능,하드/가능,노말/가능,노말14/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,노말/가능,2022-09-14 22:12:13
최왕임,1505.83,하드/가능,하드/가능,노말/가능,노말14/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,노말/가능,2022-09-14 22:12:17
최왕나,1460.00,하드/가능,하드/가능,리허설/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,3페이즈/가능,레벨제한/입장불가,2022-09-14 22:12:21
최왕헌,1515.83,하드/가능,하드/가능,노말/가능,노말14/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,노말/가능,2022-09-14 22:12:24
최왕로,1445.00,하드/가능,노말/가능,리허설/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,3페이즈/가능,레벨제한/입장불가,2022-09-14 22:12:27
최왕신,1415.00,노말/가능,레벨제한/입장불가,리허설/가능,레벨제한/입장불가,레벨제한/입장불가,골드보상X,가능,3페이즈/가능,레벨제한/입장불가,2022-09-14 22:12:30
왕마이트,1415.00,노말/가능,레벨제한/입장불가,리허설/가능,레벨제한/입장불가,레벨제한/입장불가,골드보상X,가능,3페이즈/가능,레벨제한/입장불가,2022-09-14 22:12:33
최왕아,1566.67,하드/가능,하드/가능,노말/가능,하드16/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,하드2/가능,2022-09-14 22:12:37
착한여자가연,1465.00,하드/가능,하드/가능,리허설/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,3페이즈/가능,레벨제한/입장불가,2022-09-14 22:12:40
Dentiscalpiu,1477.50,하드/가능,하드/가능,노말/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,골드보상X/가능,노말/가능,2022-09-14 22:12:43
Meridianorum,1480.00,하드/가능,하드/가능,노말/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,골드보상X/가능,노말/가능,2022-09-14 22:12:50
선갱쯰,1526.67,하드/가능,하드/가능,노말/가능,노말16/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,하드1/가능,2022-09-14 22:12:52
선갱징,1475.00,하드/가능,하드/가능,노말/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,골드보상X/가능,노말/가능,2022-09-14 22:12:56
선깽지,1465.00,하드/가능,하드/가능,리허설/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,3페이즈/가능,레벨제한/입장불가,2022-09-14 22:12:59
선갱찌,1465.00,하드/가능,하드/가능,리허설/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,3페이즈/가능,레벨제한/입장불가,2022-09-14 22:13:03
바위에머리받기,1585.00,하드/가능,하드/가능,노말/가능,하드16/가능,노말/가능,골드보상X,가능,골드보상X/가능,하드3/가능,2022-09-14 22:13:06
강옹끠,1600.83,하드/가능,하드/가능,노말/가능,하드16/가능,하드/가능,골드보상X,가능,골드보상X/가능,하드3/가능,2022-09-14 22:13:09
강옹뀨,1523.33,하드/가능,하드/가능,노말/가능,노말16/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,하드1/가능,2022-09-14 22:13:12
강옹홐,1540.00,하드/가능,하드/가능,노말/가능,하드12노말36/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,하드1/가능,2022-09-14 22:13:15
치평동잔반처리반,1563.33,하드/가능,하드/가능,노말/가능,하드16/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,하드2/가능,2022-09-14 22:13:19
강옹창,1531.67,하드/가능,하드/가능,노말/가능,노말16/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,하드1/가능,2022-09-14 22:13:23
강옹잽,1509.17,하드/가능,하드/가능,노말/가능,노말14/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,노말/가능,2022-09-14 22:13:28
강옹끤,1523.33,하드/가능,하드/가능,노말/가능,노말16/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,하드1/가능,2022-09-14 22:13:31
강옹뀌,1507.50,하드/가능,하드/가능,노말/가능,노말14/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,노말/가능,2022-09-14 22:13:35
명소연,1550.00,하드/가능,하드/가능,노말/가능,하드14노말56/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,하드1/가능,2022-09-14 22:13:38
강한여자가연,1505.83,하드/가능,하드/가능,노말/가능,노말14/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,노말/가능,2022-09-14 22:13:41
멋진남자가연,1415.00,노말/가능,레벨제한/입장불가,리허설/가능,레벨제한/입장불가,레벨제한/입장불가,골드보상X,가능,3페이즈/가능,레벨제한/입장불가,2022-09-14 22:13:44
Octavonota,1460.00,하드/가능,하드/가능,리허설/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,3페이즈/가능,레벨제한/입장불가,2022-09-14 22:13:47
Ejectio,1460.00,하드/가능,하드/가능,리허설/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,3페이즈/가능,레벨제한/입장불가,2022-09-14 22:13:50
Dogutibbl,1475.00,하드/가능,하드/가능,노말/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,골드보상X/가능,노말/가능,2022-09-14 22:13:53
바위에버프주기,1525.00,하드/가능,하드/가능,노말/가능,노말16/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,하드1/가능,2022-09-14 22:13:57
최왕린,1460.00,하드/가능,하드/가능,리허설/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,3페이즈/가능,레벨제한/입장불가,2022-09-14 22:14:00
겉멋충등장,1475.00,하드/가능,하드/가능,노말/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,골드보상X/가능,노말/가능,2022-09-14 22:14:04
바위에우산씌우기,1515.00,하드/가능,하드/가능,노말/가능,노말14/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,노말/가능,2022-09-14 22:14:06
바위에마법쓰기,1460.00,하드/가능,하드/가능,리허설/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,3페이즈/가능,레벨제한/입장불가,2022-09-14 22:14:09
바위에산수화,1445.00,하드/가능,노말/가능,리허설/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,3페이즈/가능,레벨제한/입장불가,2022-09-14 22:14:13
선깽즤,1425.00,노말/가능,레벨제한/입장불가,리허설/가능,레벨제한/입장불가,레벨제한/입장불가,골드보상X,가능,3페이즈/가능,레벨제한/입장불가,2022-09-14 22:14:16
선갱지,1573.33,하드/가능,하드/가능,노말/가능,하드16/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,하드2/가능,2022-09-14 22:14:19
페이스캠,1509.17,하드/가능,하드/가능,노말/가능,노말14/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,노말/가능,2022-09-14 22:14:22
제이에이브이,1462.50,하드/가능,하드/가능,리허설/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,3페이즈/가능,레벨제한/입장불가,2022-09-14 22:14:25
페이크포토,1460.00,하드/가능,하드/가능,리허설/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,3페이즈/가능,레벨제한/입장불가,2022-09-14 22:14:28
페이크비디오,1465.00,하드/가능,하드/가능,리허설/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,3페이즈/가능,레벨제한/입장불가,2022-09-14 22:14:31
가져가라가져가,1462.50,하드/가능,하드/가능,리허설/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,3페이즈/가능,레벨제한/입장불가,2022-09-14 22:14:34
페이크캠,1445.00,하드/가능,노말/가능,리허설/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,3페이즈/가능,레벨제한/입장불가,2022-09-14 22:14:37
