캐릭터명,레벨,발탄,비아키스,쿠크세이튼,아브렐슈드,일리아칸,오레하,아르고스,카양겔,timestamp
김서풍,1560.00,하드/가능,하드/가능,노말/가능,하드16/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,하드2/가능,2022-09-21 10:15:05
냉동랜스,1477.50,하드/가능,하드/가능,노말/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,골드보상X/가능,노말/가능,2022-09-21 10:15:08
Obtusis,1565.83,하드/가능,하드/가능,노말/가능,하드16/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,하드2/가능,2022-09-21 10:15:11
리퍼님파티신청하지마세요,1560.00,하드/가능,하드/가능,노말/가능,하드16/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,하드2/가능,2022-09-21 10:15:13
선우서풍,1501.67,하드/가능,하드/가능,노말/가능,노말14/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,노말/가능,2022-09-21 10:15:16
남궁서풍,1467.50,하드/가능,하드/가능,리허설/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,3페이즈/가능,레벨제한/입장불가,2022-09-21 10:15:19
서문서풍,1467.50,하드/가능,하드/가능,리허설/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,3페이즈/가능,레벨제한/입장불가,2022-09-21 10:15:21
최왕하,1524.17,하드/가능,하드/가능,노말/가능,노말16/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,하드1/가능,2022-09-21 10:15:24
최왕후,1522.50,하드/가능,하드/가능,노말/가능,노말16/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,하드1/가능,2022-09-21 10:15:27
최왕서,1460.00,하드/가능,하드/가능,리허설/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,3페이즈/가능,레벨제한/입장불가,2022-09-21 10:15:29
최왕령,1510.00,하드/가능,하드/가능,노말/가능,노말14/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,노말/가능,2022-09-21 10:15:32
최왕임,1509.17,하드/가능,하드/가능,노말/가능,노말14/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,노말/가능,2022-09-21 10:15:35
최왕나,1500.83,하드/가능,하드/가능,노말/가능,노말14/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,노말/가능,2022-09-21 10:15:37
최왕헌,1515.83,하드/가능,하드/가능,노말/가능,노말14/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,노말/가능,2022-09-21 10:15:40
최왕로,1445.00,하드/가능,노말/가능,리허설/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,3페이즈/가능,레벨제한/입장불가,2022-09-21 10:15:42
최왕신,1415.00,노말/가능,레벨제한/입장불가,리허설/가능,레벨제한/입장불가,레벨제한/입장불가,골드보상X,가능,3페이즈/가능,레벨제한/입장불가,2022-09-21 10:15:45
왕마이트,1415.00,노말/가능,레벨제한/입장불가,리허설/가능,레벨제한/입장불가,레벨제한/입장불가,골드보상X,가능,3페이즈/가능,레벨제한/입장불가,2022-09-21 10:15:48
최왕아,1570.00,하드/가능,하드/가능,노말/가능,하드16/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,하드2/가능,2022-09-21 10:15:50
착한여자가연,1465.00,하드/가능,하드/가능,리허설/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,3페이즈/가능,레벨제한/입장불가,2022-09-21 10:15:53
Dentiscalpiu,1477.50,하드/가능,하드/가능,노말/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,골드보상X/가능,노말/가능,2022-09-21 10:15:56
