캐릭터명,레벨,발탄,비아키스,쿠크세이튼,아브렐슈드,일리아칸,오레하,아르고스,카양겔,timestamp
Meridianorum,1480.00,하드/가능,하드/가능,노말/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,골드보상X/가능,노말/가능,2022-09-21 10:15:58
선갱쯰,1526.67,하드/가능,하드/가능,노말/가능,노말16/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,하드1/가능,2022-09-21 10:16:01
선갱징,1482.50,하드/가능,하드/가능,노말/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,골드보상X/가능,노말/가능,2022-09-21 10:16:03
선깽지,1465.00,하드/가능,하드/가능,리허설/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,3페이즈/가능,레벨제한/입장불가,2022-09-21 10:16:06
선갱찌,1477.50,하드/가능,하드/가능,노말/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,골드보상X/가능,노말/가능,2022-09-21 10:16:09
바위에머리받기,1585.83,하드/가능,하드/가능,노말/가능,하드16/가능,노말/가능,골드보상X,가능,골드보상X/가능,하드3/가능,2022-09-21 10:16:12
강옹끠,1600.83,하드/가능,하드/가능,노말/가능,하드16/가능,하드/가능,골드보상X,가능,골드보상X/가능,하드3/가능,2022-09-21 10:16:14
강옹뀨,1523.33,하드/가능,하드/가능,노말/가능,노말16/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,하드1/가능,2022-09-21 10:16:17
강옹홐,1540.00,하드/가능,하드/가능,노말/가능,하드12노말36/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,하드1/가능,2022-09-21 10:16:20
치평동잔반처리반,1563.33,하드/가능,하드/가능,노말/가능,하드16/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,하드2/가능,2022-09-21 10:16:22
강옹창,1531.67,하드/가능,하드/가능,노말/가능,노말16/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,하드1/가능,2022-09-21 10:16:25
강옹잽,1509.17,하드/가능,하드/가능,노말/가능,노말14/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,노말/가능,2022-09-21 10:16:27
강옹끤,1523.33,하드/가능,하드/가능,노말/가능,노말16/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,하드1/가능,2022-09-21 10:16:30
강옹뀌,1507.50,하드/가능,하드/가능,노말/가능,노말14/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,노말/가능,2022-09-21 10:16:33
명소연,1550.00,하드/가능,하드/가능,노말/가능,하드14노말56/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,하드1/가능,2022-09-21 10:16:36
강한여자가연,1505.83,하드/가능,하드/가능,노말/가능,노말14/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,노말/가능,2022-09-21 10:16:38
멋진남자가연,1415.00,노말/가능,레벨제한/입장불가,리허설/가능,레벨제한/입장불가,레벨제한/입장불가,골드보상X,가능,3페이즈/가능,레벨제한/입장불가,2022-09-21 10:16:40
Octavonota,1475.00,하드/가능,하드/가능,노말/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,골드보상X/가능,노말/가능,2022-09-21 10:16:43
Ejectio,1475.00,하드/가능,하드/가능,노말/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,골드보상X/가능,노말/가능,2022-09-21 10:16:46
Dogutibbl,1477.50,하드/가능,하드/가능,노말/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,골드보상X/가능,노말/가능,2022-09-21 10:16:48
바위에버프주기,1525.00,하드/가능,하드/가능,노말/가능,노말16/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,하드1/가능,2022-09-21 10:16:51
최왕린,1460.00,하드/가능,하드/가능,리허설/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,3페이즈/가능,레벨제한/입장불가,2022-09-21 10:16:54
겉멋충등장,1475.00,하드/가능,하드/가능,노말/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,골드보상X/가능,노말/가능,2022-09-21 10:16:57
바위에우산씌우기,1523.33,하드/가능,하드/가능,노말/가능,노말16/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,하드1/가능,2022-09-21 10:16:59
바위에마법쓰기,1460.00,하드/가능,하드/가능,리허설/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,3페이즈/가능,레벨제한/입장불가,2022-09-21 10:17:02
바위에산수화,1445.00,하드/가능,노말/가능,리허설/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,3페이즈/가능,레벨제한/입장불가,2022-09-21 10:17:04
선깽즤,1427.50,노말/가능,레벨제한/입장불가,리허설/가능,레벨제한/입장불가,레벨제한/입장불가,골드보상X,가능,3페이즈/가능,레벨제한/입장불가,2022-09-21 10:17:07
선갱지,1575.00,하드/가능,하드/가능,노말/가능,하드16/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,하드2/가능,2022-09-21 10:17:09
페이스캠,1509.17,하드/가능,하드/가능,노말/가능,노말14/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,노말/가능,2022-09-21 10:17:12
제이에이브이,1462.50,하드/가능,하드/가능,리허설/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,3페이즈/가능,레벨제한/입장불가,2022-09-21 10:17:15
페이크포토,1460.00,하드/가능,하드/가능,리허설/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,3페이즈/가능,레벨제한/입장불가,2022-09-21 10:17:17
페이크비디오,1465.00,하드/가능,하드/가능,리허설/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,3페이즈/가능,레벨제한/입장불가,2022-09-21 10:17:20
가져가라가져가,1462.50,하드/가능,하드/가능,리허설/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,3페이즈/가능,레벨제한/입장불가,2022-09-21 10:17:22
페이크캠,1445.00,하드/가능,노말/가능,리허설/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,3페이즈/가능,레벨제한/입장불가,2022-09-21 10:17:25
