캐릭터명,레벨,발탄,비아키스,쿠크세이튼,아브렐슈드,일리아칸,오레하,아르고스,카양겔,timestamp
멋진남자가연,1415.00,노말/가능,레벨제한/입장불가,리허설/가능,레벨제한/입장불가,레벨제한/입장불가,골드보상X,가능,3페이즈/가능,레벨제한/입장불가,2022-09-07 13:27:36
Octavonota,1460.00,하드/가능,하드/가능,리허설/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,3페이즈/가능,레벨제한/입장불가,2022-09-07 13:27:40
Ejectio,1460.00,하드/가능,하드/가능,리허설/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,3페이즈/가능,레벨제한/입장불가,2022-09-07 13:27:43
Dogutibbl,1465.00,하드/가능,하드/가능,리허설/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,3페이즈/가능,레벨제한/입장불가,2022-09-07 13:27:47
바위에버프주기,1525.00,하드/가능,하드/가능,노말/가능,노말16/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,하드1/가능,2022-09-07 13:27:54
최왕린,1460.00,하드/가능,하드/가능,리허설/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,3페이즈/가능,레벨제한/입장불가,2022-09-07 13:28:01
겉멋충등장,1475.00,하드/가능,하드/가능,노말/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,골드보상X/가능,노말/가능,2022-09-07 13:28:06
바위에우산씌우기,1511.67,하드/가능,하드/가능,노말/가능,노말14/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,노말/가능,2022-09-07 13:28:11
바위에마법쓰기,1460.00,하드/가능,하드/가능,리허설/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,3페이즈/가능,레벨제한/입장불가,2022-09-07 13:28:17
바위에산수화,1445.00,하드/가능,노말/가능,리허설/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,3페이즈/가능,레벨제한/입장불가,2022-09-07 13:28:23
선깽즤,1425.00,노말/가능,레벨제한/입장불가,리허설/가능,레벨제한/입장불가,레벨제한/입장불가,골드보상X,가능,3페이즈/가능,레벨제한/입장불가,2022-09-07 13:28:28
선갱지,1570.00,하드/가능,하드/가능,노말/가능,하드16/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,하드2/가능,2022-09-07 13:28:31
